Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
@{Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ParentalControls/resources/DisplayName}	@{Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ParentalControls/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	Microsoft.Windows.ParentalControls_cw5n1h2txyewy	
@{Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ParentalControls/resources/DisplayName}	@{Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ParentalControls/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	Microsoft.Windows.ParentalControls_cw5n1h2txyewy	
@{Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}	@{Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}	@{Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	S-1-5-21-3761877551-2328681871-3594665660-500	None	Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy	
@{Microsoft.XboxGameCallableUI_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.XboxGameCallableUI/resources/PkgDisplayName}	@{Microsoft.XboxGameCallableUI_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.XboxGameCallableUI/resources/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	Microsoft.XboxGameCallableUI_cw5n1h2txyewy	
@{Microsoft.XboxGameCallableUI_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.XboxGameCallableUI/resources/PkgDisplayName}	@{Microsoft.XboxGameCallableUI_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.XboxGameCallableUI/resources/PkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	Microsoft.XboxGameCallableUI_cw5n1h2txyewy	
@{MicrosoftWindows.Client.CBS_1000.22632.1000.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}	@{MicrosoftWindows.Client.CBS_1000.22632.1000.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	S-1-5-21-3761877551-2328681871-3594665660-500	None	MicrosoftWindows.Client.CBS_cw5n1h2txyewy	
@{MicrosoftWindows.Client.CBS_1000.22700.1055.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}	@{MicrosoftWindows.Client.CBS_1000.22700.1055.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	MicrosoftWindows.Client.CBS_cw5n1h2txyewy	
